iter	Logloss
0	0.6610987709
1	0.6342365326
2	0.6135311475
3	0.5940320418
4	0.5780135682
5	0.5621056643
6	0.5498811962
7	0.5381364562
8	0.5267972291
9	0.5177102772
10	0.5078920778
11	0.5003974195
12	0.493289732
13	0.4869935745
14	0.4814926867
15	0.4752604304
16	0.469813202
17	0.4647492412
18	0.4599707858
19	0.4533861454
20	0.4494060017
21	0.4440873437
22	0.441228059
23	0.4371749687
24	0.4328655803
25	0.4295125078
26	0.4263844395
27	0.422661857
28	0.4191834298
29	0.416756317
30	0.4143766195
31	0.412375618
32	0.4087571851
33	0.4054392124
34	0.40353506
35	0.3985133488
36	0.3964512959
37	0.394807261
38	0.392400958
39	0.3890552235
40	0.3869477957
41	0.385252708
42	0.3833625221
43	0.3822632942
44	0.3808691129
45	0.3801256422
46	0.3785758457
47	0.3767350103
48	0.3759295456
49	0.3747839656
50	0.3740029156
51	0.3718487276
52	0.3711622848
53	0.3699134224
54	0.3689739369
55	0.3678177337
56	0.3670953606
57	0.3643810678
58	0.3622318561
59	0.3604530269
60	0.3584914385
61	0.358092224
62	0.3562457695
63	0.3546204327
64	0.353792169
65	0.3521704633
66	0.3510360502
67	0.3503703487
68	0.349278004
69	0.3482172916
70	0.347556631
71	0.3462675316
72	0.3457982944
73	0.3443020523
74	0.343405354
75	0.3426316711
76	0.3421471991
77	0.3407651014
78	0.3399030752
79	0.3388345467
80	0.3377432376
81	0.3371460025
82	0.335937448
83	0.3357095987
84	0.3353543347
85	0.3344880357
86	0.3338375672
87	0.3328850817
88	0.3320067599
89	0.3313720696
90	0.3307770324
91	0.3298230137
92	0.3290406408
93	0.3283580221
94	0.3279287261
95	0.3272599243
96	0.3249213669
97	0.3241446307
98	0.3236119742
99	0.3229671101
