iter	Passed	Remaining
0	11	1184
1	24	1180
2	36	1186
3	50	1203
4	61	1177
5	75	1179
6	85	1140
7	98	1129
8	108	1099
9	118	1062
10	125	1016
11	131	963
12	135	906
13	141	871
14	145	825
15	149	783
16	152	745
17	157	716
18	164	699
19	167	671
20	172	649
21	176	627
22	180	604
23	184	583
24	190	571
25	194	554
26	198	536
27	202	521
28	207	508
29	211	493
30	215	479
31	221	470
32	225	458
33	229	445
34	233	433
35	239	425
36	242	413
37	246	402
38	250	392
39	257	385
40	261	375
41	265	366
42	270	358
43	276	351
44	280	342
45	284	334
46	290	327
47	294	318
48	298	310
49	304	304
50	308	295
51	312	288
52	316	280
53	322	274
54	326	266
55	329	259
56	333	251
57	337	244
58	341	237
59	344	229
60	351	224
61	355	217
62	358	210
63	363	204
64	369	199
65	373	192
66	377	186
67	384	180
68	388	174
69	392	168
70	398	162
71	402	156
72	406	150
73	411	144
74	417	139
75	421	133
76	425	127
77	429	121
78	432	115
79	436	109
80	440	103
81	446	97
82	449	92
83	453	86
84	458	80
85	463	75
86	467	69
87	471	64
88	478	59
89	482	53
90	486	48
91	491	42
92	496	37
93	500	31
94	503	26
95	510	21
96	513	15
97	517	10
98	521	5
99	525	0
